File Name: 17_Sample12_device3_trfSat_dark_vert_foil.dat;;;;;;;;;
File Data: 15/12/2023;12:26:48;;;;;;;;
Start V: 0;;;;;;;;;
Step V: 0;;;;;;;;;
Stop V: 0;;;;;;;;;
Range V: 200;;;;;;;;;
Delay(ms): 0;;;;;;;;;
Auorange: yes;;;;;;;;;
Sweep type: log;;;;;;;;;
Instrument Meter: SM2614;;;;;;;;;
Time(ms);Vdrain(V);Idrain(A);Vgate(V);Igate(A);;;VGate (V);|IDrain| (A);|IGate| (A)
9.60E+04;1.00E+00;3.84E-10;-3.10E+01;-1.90E-09;;;-3.10E+01;3.8412E-10;1.8998E-09
9.65E+04;1.00E+00;3.71E-10;-3.20E+01;-2.06E-09;;;-3.20E+01;3.7113E-10;2.0582E-09
9.70E+04;1.00E+00;4.19E-10;-3.30E+01;-2.09E-09;;;-3.30E+01;4.1938E-10;2.0933E-09
9.75E+04;1.00E+00;4.21E-10;-3.40E+01;-2.29E-09;;;-3.40E+01;4.2093E-10;2.2938E-09
9.80E+04;1.00E+00;4.51E-10;-3.50E+01;-2.51E-09;;;-3.50E+01;4.5119E-10;2.5058E-09
9.85E+04;1.00E+00;4.81E-10;-3.60E+01;-2.73E-09;;;-3.60E+01;4.8124E-10;2.7342E-09
9.90E+04;1.00E+00;5.13E-10;-3.70E+01;-3.00E-09;;;-3.70E+01;5.1273E-10;3.0002E-09
9.95E+04;1.00E+00;9.21E-10;-3.80E+01;-2.08E-08;;;-3.80E+01;9.2065E-10;2.0794E-08
1.00E+05;1.00E+00;5.75E-10;-3.90E+01;-4.22E-09;;;-3.90E+01;5.7534E-10;4.2218E-09
1.01E+05;1.00E+00;2.44E-10;-4.00E+01;-5.43E-09;;;-4.00E+01;2.4379E-10;5.4312E-09
1.01E+05;1.00E+00;6.14E-10;-4.10E+01;-8.66E-09;;;-4.10E+01;6.14E-10;8.6592E-09
1.02E+05;1.00E+00;1.10E-09;-4.20E+01;-4.41E-08;;;-4.20E+01;1.103E-09;4.4073E-08
1.02E+05;1.00E+00;5.03E-10;-4.30E+01;-1.41E-08;;;-4.30E+01;5.025E-10;1.4128E-08
