#scan;iMeasureCycle=1;iMux=0;time=0.143;N=482;LocalTime=31/10/2023 16:43:28;;;
#VGate(V);IGate(A);time(s);VDrain(V);IDrain(A);time(s);;;Idrain^1/2 (^1/2)
39.9999;2.48E-10;44.303462;1;4.07E-05;44.303462;;;0.006379655
39.5;2.28E-10;44.45363;1;4.03E-05;44.45363;;;0.006348228
39;2.29E-10;44.622054;1;4.00E-05;44.622054;;;0.006324555
38.4999;2.22E-10;44.772153;1;3.96E-05;44.772153;;;0.006292853
38;2.07E-10;44.922134;1;3.93E-05;44.922134;;;0.006268971
37.5;1.90E-10;45.072168;1;3.89E-05;45.072168;;;0.006236986
37;1.85E-10;45.222482;1;3.86E-05;45.222482;;;0.00621289
36.5;1.67E-10;45.372484;1;3.82E-05;45.372484;;;0.006180615
35.9999;1.65E-10;45.534352;1;3.79E-05;45.534352;;;0.006156298
35.4999;3.41E-11;45.684469;1;3.75E-05;45.684469;;;0.006123724
35;-2.29E-10;45.834527;1;3.72E-05;45.834527;;;0.00609918
34.4999;3.35E-11;46.009484;1;3.69E-05;46.009484;;;0.006074537
33.9999;1.27E-10;46.159711;1;3.65E-05;46.159711;;;0.006041523
33.5;1.23E-10;46.309807;1;3.62E-05;46.309807;;;0.006016644
33;1.22E-10;46.459969;0.999999;3.58E-05;46.459969;;;0.00598331
32.5;1.12E-10;46.627249;1;3.55E-05;46.627249;;;0.005958188
32;1.07E-10;46.777466;1;3.51E-05;46.777466;;;0.005924525
31.4999;9.99E-11;46.927492;1;3.48E-05;46.927492;;;0.005899152
31;9.25E-11;47.077462;1;3.45E-05;47.077462;;;0.00587367
30.4999;8.63E-11;47.229339;0.999999;3.41E-05;47.229339;;;0.005839521
30;6.80E-11;47.379391;1;3.38E-05;47.379391;;;0.005813777
29.5;5.74E-11;47.540145;1;3.34E-05;47.540145;;;0.005779273
29;4.41E-11;47.690251;1;3.31E-05;47.690251;;;0.00575326
28.5;4.54E-11;47.840257;1;3.27E-05;47.840257;;;0.005718391
28;3.76E-11;48.014958;1;3.24E-05;48.014958;;;0.0056921
27.5;2.25E-11;48.164974;1;3.21E-05;48.164974;;;0.005665686
26.9999;-1.68E-11;48.315016;1;3.17E-05;48.315016;;;0.005630275
26.5;-8.20E-11;48.464991;1;3.14E-05;48.464991;;;0.00560357
26;-1.90E-10;48.632253;1;3.10E-05;48.632253;;;0.005567764
25.4999;-4.88E-11;48.782277;1;3.07E-05;48.782277;;;0.005540758
24.9999;-4.58E-11;48.932197;1;3.03E-05;48.932197;;;0.005504544
24.4999;-5.11E-11;49.082213;1;3.00E-05;49.082213;;;0.005477226
23.9999;-9.91E-11;49.234507;1;2.97E-05;49.234507;;;0.005449771
23.5;-8.33E-11;49.384476;1;2.93E-05;49.384476;;;0.005412947
22.9999;-9.80E-11;49.545384;1;2.90E-05;49.545384;;;0.005385165
